Order ID,Employee ID ,Employee Name,Employee Job Title,Sales Region,Order Date,State,State Code,Product Category,Product Name,Quantity,Unit Price,Order Amount
2935,19019,Alexandra Kundt,Senior Sales Associate,S Central East,9/2/2019,Arkansas,AR,Olive Oil,Chili Extra Virgin Olive Oil 2pk,3,45,135
2976,19019,Alexandra Kundt,Senior Sales Associate,S Central East,15/2/2019,Missouri,MO,Gift Basket,Scented Olive Oil Candle Gift Basket,1,19.5,19.5
2988,19019,Alexandra Kundt,Senior Sales Associate,S Central East,16/2/2019,Mississippi,MS,Olive Oil,Chili Extra Virgin Olive Oil,4,26,104
3012,19019,Alexandra Kundt,Senior Sales Associate,S Central East,19/2/2019,Texas,TX,Olive Oil,Garlic Extra Virgin Olive Oil 12pk,4,234,936
3031,19019,Alexandra Kundt,Senior Sales Associate,S Central East,22/2/2019,Texas,TX,Olive Oil,Chili Extra Virgin Olive Oil 12pk,3,234,702
3106,19019,Alexandra Kundt,Senior Sales Associate,S Central East,9/3/2019,Oklahoma,OK,Bath products,Vanilla and Olive Oil Candle,2,6.99,13.98
3113,19019,Alexandra Kundt,Senior Sales Associate,S Central East,11/3/2019,Texas,TX,Olive Oil,Chili Extra Virgin Olive Oil 2pk,5,45,225
3172,19019,Alexandra Kundt,Senior Sales Associate,S Central East,18/3/2019,Texas,TX,Olive Oil,Lemon Extra Virgin Olive Oil 2pk,4,45,180
3175,19019,Alexandra Kundt,Senior Sales Associate,S Central East,19/3/2019,Missouri,MO,Olive Oil,Rosemary Extra Virgin Olive Oil,3,26,78
3240,19019,Alexandra Kundt,Senior Sales Associate,S Central East,29/3/2019,Arkansas,AR,Olive Oil,Basil Extra Virgin Olive Oil 2pk,2,45,90
3282,19019,Alexandra Kundt,Senior Sales Associate,S Central East,3/4/2019,Texas,TX,Bath products,Lavender and Olive Oil Lotion,4,9.99,39.96
3312,19019,Alexandra Kundt,Senior Sales Associate,S Central East,7/4/2019,Missouri,MO,Bath products,Mandarin and Olive Oil Bar Soap,1,5.99,5.99
3348,19019,Alexandra Kundt,Senior Sales Associate,S Central East,12/4/2019,Oklahoma,OK,Olive Oil,Rosemary Extra Virgin Olive Oil 2pk,1,45,45
3367,19019,Alexandra Kundt,Senior Sales Associate,S Central East,14/4/2019,Arkansas,AR,Bath products,Vanilla and Olive Oil Bar Soap,3,5.99,17.97
3462,19019,Alexandra Kundt,Senior Sales Associate,S Central East,28/4/2019,Texas,TX,Olive Oil,Garlic Extra Virgin Olive Oil 6pk,2,123,246
3461,19019,Alexandra Kundt,Senior Sales Associate,S Central East,28/4/2019,Oklahoma,OK,Olive Oil,Basil Extra Virgin Olive Oil 2pk,2,45,90
3475,19019,Alexandra Kundt,Senior Sales Associate,S Central East,29/4/2019,Texas,TX,Bath products,Assorted Olive Bar Soap - 6 pk,3,30,90
3537,19019,Alexandra Kundt,Senior Sales Associate,S Central East,6/5/2019,Mississippi,MS,Gift Basket,Infused EVOO Gift Basket,3,75,225
3597,19019,Alexandra Kundt,Senior Sales Associate,S Central East,14/5/2019,Texas,TX,Olive Oil,Extra Virgin Olive Oil - Bold 12pk,11,234,2574
3614,19019,Alexandra Kundt,Senior Sales Associate,S Central East,16/5/2019,New Mexico,NM,Olive Oil,Chili Extra Virgin Olive Oil 6pk,4,123,492
3631,19019,Alexandra Kundt,Senior Sales Associate,S Central East,19/5/2019,Texas,TX,Olive Oil,Rosemary Extra Virgin Olive Oil 12pk,14,234,3276
3811,19019,Alexandra Kundt,Senior Sales Associate,S Central East,17/6/2019,Texas,TX,Olive Oil,Chili Extra Virgin Olive Oil 12pk,1,234,234
3824,19019,Alexandra Kundt,Senior Sales Associate,S Central East,18/6/2019,Texas,TX,Olive Oil,Rosemary Extra Virgin Olive Oil 12pk,3,234,702
3901,19019,Alexandra Kundt,Senior Sales Associate,S Central East,29/6/2019,Texas,TX,Olive Oil,Extra Virgin Olive Oil - Delicate 12pk,2,234,468
4026,19019,Alexandra Kundt,Senior Sales Associate,S Central East,14/7/2019,Texas,TX,Bath products,Mandarin and Olive Body Soap,3,7.45,22.35
4067,19019,Alexandra Kundt,Senior Sales Associate,S Central East,21/7/2019,Louisiana,LA,Gift Basket,Scented Olive Oil Candle Gift Basket,2,19.5,39
4066,19019,Alexandra Kundt,Senior Sales Associate,S Central East,21/7/2019,Texas,TX,Olive Oil,Extra Virgin Olive Oil - Delicate 12pk,2,234,468
4083,19019,Alexandra Kundt,Senior Sales Associate,S Central East,22/7/2019,Texas,TX,Olive Oil,Extra Virgin Olive Oil - Bold 12pk,11,234,2574
4122,19019,Alexandra Kundt,Senior Sales Associate,S Central East,28/7/2019,Louisiana,LA,Olive Oil,Lemon Extra Virgin Olive Oil 12pk,3,234,702
4198,19019,Alexandra Kundt,Senior Sales Associate,S Central East,8/8/2019,Texas,TX,Gift Basket,Organic EVOO Gift Basket,1,70,70
4231,19019,Alexandra Kundt,Senior Sales Associate,S Central East,14/8/2019,Texas,TX,Olive Oil,Extra Virgin Olive Oil - Delicate 12pk,3,234,702
4317,19019,Alexandra Kundt,Senior Sales Associate,S Central East,26/8/2019,Arkansas,AR,Gift Basket,Scented Olive Oil Lotion Gift Basket,1,27,27
4404,19019,Alexandra Kundt,Senior Sales Associate,S Central East,7/9/2019,Texas,TX,Bath products,Lavender and Olive Oil Bar Soap,4,5.99,23.96
4460,19019,Alexandra Kundt,Senior Sales Associate,S Central East,16/9/2019,Texas,TX,Bath products,Lavender and Olive Oil Bar Soap 3pk,1,14.5,14.5
4506,19019,Alexandra Kundt,Senior Sales Associate,S Central East,23/9/2019,Texas,TX,Olive Oil,Rosemary Extra Virgin Olive Oil 6pk,2,123,246
4527,19019,Alexandra Kundt,Senior Sales Associate,S Central East,27/9/2019,Missouri,MO,Bath products,Assorted Olive Oil Bar Soap - 3 pk,4,14.5,58
4558,19019,Alexandra Kundt,Senior Sales Associate,S Central East,1/10/2019,Louisiana,LA,Gift Basket,Scented Olive Oil Bath Salts Gift Basket,3,35,105
4555,19019,Alexandra Kundt,Senior Sales Associate,S Central East,1/10/2019,Texas,TX,Olive Oil,Garlic Extra Virgin Olive Oil 2pk,2,45,90
4652,19019,Alexandra Kundt,Senior Sales Associate,S Central East,15/10/2019,Texas,TX,Olive Oil,Lemon Extra Virgin Olive Oil 12pk,2,234,468
4710,19019,Alexandra Kundt,Senior Sales Associate,S Central East,23/10/2019,Oklahoma,OK,Olive Oil,Extra Virgin Olive Oil - Medium 2pk,3,16.75,50.25
4730,19019,Alexandra Kundt,Senior Sales Associate,S Central East,26/10/2019,Texas,TX,Bath products,Vanilla and Olive Oil Lotion,4,9.99,39.96
